id,title_cn,title_jp,title_en,region,type,rating,points_count,center_lat,center_lng,cover_url,bgm_id
502002,假面骑士加布,仮面ライダーガヴ,,,日剧,7.7,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/be/26/502002_7jywq.jpg,
389189,孤独的美食家 第十季,孤独のグルメ Season10,,,日剧,7.5,14,0,0,http://bgm-api.anitabi.cn/pic/cover/l/6f/f5/389189_6zNvd.jpg,
338953,原子之心,Atomic Heart,,,游戏,6.2,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/6a/43/338953_4S4Kn.jpg,
364252,极速车魂,MFゴースト,MF GHOST,神奈川县,TV,6.3,34,35.321083,139.479133,https://w.junreimap.com/images/bangumi/364252.jpg,1794
119889,我老婆是学生会长,おくさまが生徒会長!,,钏路市,TV,6,3,42.978964,144.377361,https://w.junreimap.com/images/bangumi/119889.jpg,107585
424883,不时轻声地以俄语遮羞的邻座艾莉同学,時々ボソッとロシア語でデレる隣のアーリャさん,Иногда Аля внезапно кокетничает по-русски,东京都,TV,6.9,33,35.608296,139.713017,https://w.junreimap.com/images/bangumi/424883.jpg,4152
431325,布莱泽奥特曼,ウルトラマンブレーザー,,,日剧,7.6,2,0,0,http://bgm-api.anitabi.cn/pic/cover/l/93/4d/431325_B6vPB.jpg,
1369,蜂蜜与四叶草,ハチミツとクローバー,,东京都,日剧,6.4,71,0,0,http://bgm-api.anitabi.cn/pic/cover/l/0e/3a/1369_3wLIL.jpg,
455602,,今日からここで暮らシマす!?,,东京都,漫画系列,0,2,0,0,https://w.junreimap.com/images/bangumi/455602.jpg,
103127,电器街的漫画店,デンキ街の本屋さん,,千代田区,TV,6.9,40,35.702945,139.771734,https://w.junreimap.com/images/bangumi/103127.jpg,464
847,蜂蜜与四叶草,ハチミツとクローバー,Honey and Clover,东京都,TV,8.5,9,35.620466,139.63829,https://w.junreimap.com/images/bangumi/847.jpg,5906
8402,吊带袜天使,Panty & Stocking with Garterbelt,Panty & Stocking with Garterbelt,,TV,8,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/a7/49/8402_Q9mLv.jpg,
73955,半泽直树,半沢直樹,,,日剧,8.3,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/c1/53/73955_nZkv3.jpg,
59583,飙速宅男,弱虫ペダル,,,TV,7.4,39,35.265403,139.115381,https://w.junreimap.com/images/bangumi/59583.jpg,43027
481945,箱中盛宴,箱中盛宴,,,,6,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/b3/37/481945_AZ1W9.jpg,
24165,,咲-Saki- 阿知賀編 episode of side-A,,,TV,7.2,3,34.617579,135.708272,https://w.junreimap.com/images/bangumi/24165.jpg,23297
79802,信长之枪,ノブナガン,,,TV,5.4,5,22.683977,120.297113,https://w.junreimap.com/images/bangumi/79802.jpg,958795
506922,测不准的阿波连同学 第二季,阿波連さんははかれない season2,,,TV,6.6,6,0,0,https://w.junreimap.com/images/bangumi/506922.jpg,
343656,测不准的阿波连同学,阿波連さんははかれない,,,TV,6.4,1,0,0,https://w.junreimap.com/images/bangumi/343656.jpg,
23455,疑犯追踪 第一季,Person of Interest (Season 1),,,欧美剧,8.2,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/ec/94/63919_7WyYZ.jpg,
2170,天翔少女,スカイガールズ,,横须贺市,TV,6.6,4,0,0,http://bgm-api.anitabi.cn/pic/cover/l/88/a8/2170_jtcRa.jpg,
480441,蓦然回首,ルックバック,Look Back,仁贺保市,剧场版,8.1,41,39.28544,139.963322,https://w.junreimap.com/images/bangumi/480441.jpg,129094
233030,"樱花、萌放。-as the Night's, Reincarnation-","さくら、もゆ。-as the Night's, Reincarnation-",,,游戏,8.3,11,35.635915,139.697793,https://w.junreimap.com/images/bangumi/233030.jpg,1105
373163,嫁到乡下的魔王,魔王が田舎に嫁いだら,,松江市,漫画系列,5.8,14,0,0,https://w.junreimap.com/images/bangumi/373163.jpg,
503253,剧场版电影 孤独的美食家,劇映画 孤独のグルメ,,日本,电影,7.2,16,32.837515,128.929995,https://w.junreimap.com/images/bangumi/503253.jpg,28134
262939,某科学的一方通行,とある科学の一方通行,,东京都,TV,5.2,17,35.662568,139.761248,https://w.junreimap.com/images/bangumi/262939.jpg,982
154340,方根书简,√LETTER,,岛根县,游戏,5.2,72,35.630194,132.796499,https://w.junreimap.com/images/bangumi/154340.jpg,96434
412784,怪物,怪物,,诹访市,电影,7.3,21,36.047687,138.116671,https://w.junreimap.com/images/bangumi/412784.jpg,65663
174998,冰上的尤里,ユーリ!!! on ICE,,唐津市,TV,7.2,48,33.443881,129.976105,https://w.junreimap.com/images/bangumi/174998.jpg,23613
444403,怪人的沙拉碗,変人のサラダボウル,,岐阜市,TV,6.8,72,35.433317,136.762161,https://w.junreimap.com/images/bangumi/444403.jpg,1307
474906,小市民系列,小市民シリーズ,,岐阜市,TV,10,267,35.429873,136.750907,https://w.junreimap.com/images/bangumi/474906.jpg,2549
302175,飞女刑事,スケバン刑事,,,日剧,7,2,0,0,http://bgm-api.anitabi.cn/pic/cover/l/93/4c/302175_G0g65.jpg,
202892,,三色△绘恋,Tricolour Lovestory,湖北省,游戏,6,11,30.573417,114.29857,https://w.junreimap.com/images/bangumi/202892.jpg,1736
426239,青春笨蛋少年不做小学美少女的梦,青春ブタ野郎はランドセルガールの夢を見ない,,镰仓市,剧场版,7.1,11,35.410342,139.547083,https://w.junreimap.com/images/bangumi/426239.jpg,10474
81373,侠盗猎车手OL,Grand Theft Auto Online,,,扩展包,7.3,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/c1/e2/81373_4cZux.jpg,
142758,线上游戏的老婆不可能是女生？,ネトゲの嫁は女の子じゃないと思った?,,,TV,6,2,35.719104,139.992127,https://w.junreimap.com/images/bangumi/142758.jpg,
38126,名侦探柯南 16名嫌疑犯！？,名探偵コナン 16人の容疑者!?,,,OVA,6.5,4,0,0,http://bgm-api.anitabi.cn/pic/cover/l/87/5b/38126_U5F5T.jpg,
90367,回忆中的玛妮,思い出のマーニー,,北海道,剧场版,7.2,7,43.055396,144.668466,https://w.junreimap.com/images/bangumi/90367.jpg,
10844,「C」,C,,,TV,6.9,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/96/97/10844_1GJ7V.jpg,
132734,路人女主的养成方法 ♭,冴えない彼女の育てかた ♭,,东京都,TV,7.2,20,35.722476,139.719872,https://w.junreimap.com/images/bangumi/132734.jpg,284
298,天空之城,天空の城ラピュタ,Castle in the Sky,,剧场版,8.5,6,53.139138,-4.27693,https://w.junreimap.com/images/bangumi/298.jpg,875451
812,空之境界 第二章 殺人考察(前),空の境界 第二章 殺人考察(前),,东京都,剧场版,7.8,1,35.610898,139.625947,https://w.junreimap.com/images/bangumi/812.jpg,
13938,东京爱情故事,東京ラブストーリー,,东京都,电视剧,8.6,22,35.660901,139.721263,http://bgm-api.anitabi.cn/pic/cover/l/cf/3b/13938_Ys7ZI.jpg,
13812,同一屋檐下,ひとつ屋根の下,,,日剧,8,3,0,0,http://bgm-api.anitabi.cn/pic/cover/l/f5/c8/13812_zuZzj.jpg,
2331,悠长假期,ロングバケーション,,,日剧,8.3,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/27/34/2331_gyKLz.jpg,
1905,夏日大作战,サマーウォーズ,Summer Wars,上田市,剧场版,7.9,9,36.397486,138.281447,https://w.junreimap.com/images/bangumi/1905.jpg,17073
90815,长门有希酱的消失,長門有希ちゃんの消失,The Disappearance of Nagato Yuki-chan,西宫市,TV,6.5,104,34.685586,135.306063,https://w.junreimap.com/images/bangumi/90815.jpg,64323
